DATE,ten_year_yield,two_year_yield
17/04/2018, 2.82 , 2.41 
18/04/2018, 2.87 , 2.42 
19/04/2018, 2.92 , 2.44 
20/04/2018, 2.96 , 2.46 
23/04/2018, 2.98 , 2.49 
24/04/2018, 3.00 , 2.48 
25/04/2018, 3.03 , 2.49 
26/04/2018, 3.00 , 2.49 
27/04/2018, 2.96 , 2.49 
30/04/2018, 2.95 , 2.49 
01/05/2018, 2.97 , 2.50 
02/05/2018, 2.97 , 2.49 
03/05/2018, 2.94 , 2.49 
04/05/2018, 2.95 , 2.51 
07/05/2018, 2.95 , 2.49 
08/05/2018, 2.97 , 2.51 
09/05/2018, 3.00 , 2.54 
10/05/2018, 2.97 , 2.54 
11/05/2018, 2.97 , 2.54 
14/05/2018, 3.00 , 2.55 
15/05/2018, 3.08 , 2.58 
16/05/2018, 3.09 , 2.58 
17/05/2018, 3.11 , 2.57 
18/05/2018, 3.06 , 2.55 
21/05/2018, 3.06 , 2.58 
22/05/2018, 3.06 , 2.59 
23/05/2018, 3.01 , 2.53 
24/05/2018, 2.98 , 2.50 
25/05/2018, 2.93 , 2.48 
28/05/2018, 2.93 , 2.48 
29/05/2018, 2.77 , 2.32 
30/05/2018, 2.84 , 2.42 
31/05/2018, 2.83 , 2.40 
01/06/2018, 2.89 , 2.47 
04/06/2018, 2.94 , 2.52 
05/06/2018, 2.92 , 2.49 
06/06/2018, 2.97 , 2.52 
07/06/2018, 2.93 , 2.50 
08/06/2018, 2.93 , 2.50 
11/06/2018, 2.96 , 2.52 
12/06/2018, 2.96 , 2.54 
13/06/2018, 2.98 , 2.59 
14/06/2018, 2.94 , 2.59 
15/06/2018, 2.93 , 2.55 
18/06/2018, 2.92 , 2.56 
19/06/2018, 2.89 , 2.54 
20/06/2018, 2.93 , 2.56 
21/06/2018, 2.90 , 2.56 
22/06/2018, 2.90 , 2.56 
25/06/2018, 2.87 , 2.54 
26/06/2018, 2.88 , 2.53 
27/06/2018, 2.83 , 2.52 
28/06/2018, 2.84 , 2.52 
29/06/2018, 2.85 , 2.52 
02/07/2018, 2.87 , 2.57 
03/07/2018, 2.83 , 2.53 
04/07/2018, 2.83 , 2.53 
05/07/2018, 2.84 , 2.55 
06/07/2018, 2.82 , 2.53 
09/07/2018, 2.86 , 2.57 
10/07/2018, 2.87 , 2.59 
11/07/2018, 2.85 , 2.58 
12/07/2018, 2.85 , 2.60 
13/07/2018, 2.83 , 2.59 
16/07/2018, 2.85 , 2.59 
17/07/2018, 2.86 , 2.62 
18/07/2018, 2.88 , 2.60 
19/07/2018, 2.84 , 2.60 
20/07/2018, 2.89 , 2.60 
23/07/2018, 2.96 , 2.64 
24/07/2018, 2.95 , 2.63 
25/07/2018, 2.94 , 2.66 
26/07/2018, 2.98 , 2.69 
27/07/2018, 2.96 , 2.67 
30/07/2018, 2.98 , 2.66 
31/07/2018, 2.96 , 2.67 
01/08/2018, 3.00 , 2.67 
02/08/2018, 2.98 , 2.66 
03/08/2018, 2.95 , 2.63 
06/08/2018, 2.94 , 2.64 
07/08/2018, 2.98 , 2.68 
08/08/2018, 2.96 , 2.68 
09/08/2018, 2.93 , 2.64 
10/08/2018, 2.87 , 2.61 
13/08/2018, 2.88 , 2.61 
14/08/2018, 2.89 , 2.63 
15/08/2018, 2.86 , 2.61 
16/08/2018, 2.87 , 2.63 
17/08/2018, 2.87 , 2.61 
20/08/2018, 2.82 , 2.60 
21/08/2018, 2.85 , 2.61 
22/08/2018, 2.82 , 2.60 
23/08/2018, 2.82 , 2.61 
24/08/2018, 2.82 , 2.63 
27/08/2018, 2.85 , 2.67 
28/08/2018, 2.88 , 2.67 
29/08/2018, 2.89 , 2.67 
30/08/2018, 2.86 , 2.64 
31/08/2018, 2.86 , 2.62 
03/09/2018, 2.86 , 2.62 
04/09/2018, 2.90 , 2.66 
05/09/2018, 2.90 , 2.66 
06/09/2018, 2.88 , 2.64 
